#Example nr 1 of output depending on input.Input bus id.
VechileLongitude: 24749720 Vechicle Latitude: 59435530 VechicleId: 98 Vechicle number:4

#Example nr 2 of output depending on input. Input bus number.
Vechile Longitude: 24710320 Vechicle Latitude: 59389660 Vechicle Number: 36 Vechicle Id: 1007
Vechile Longitude: 24742530 Vechicle Latitude: 59425290 Vechicle Number: 36 Vechicle Id: 1014
Vechile Longitude: 24671670 Vechicle Latitude: 59397750 Vechicle Number: 36 Vechicle Id: 1061
Vechile Longitude: 24738880 Vechicle Latitude: 59413630 Vechicle Number: 36 Vechicle Id: 1114
Vechile Longitude: 24686940 Vechicle Latitude: 59387440 Vechicle Number: 36 Vechicle Id: 1443
Vechile Longitude: 24633830 Vechicle Latitude: 59412610 Vechicle Number: 36 Vechicle Id: 1447
Vechile Longitude: 24632250 Vechicle Latitude: 59410380 Vechicle Number: 36 Vechicle Id: 1454
Vechile Longitude: 24732660 Vechicle Latitude: 59405790 Vechicle Number: 36 Vechicle Id: 1888
Vechile Longitude: 24742590 Vechicle Latitude: 59424830 Vechicle Number: 36 Vechicle Id: 3542

How many busses use Gps:459

#Example of adding information to gps.txt from stops.txt
VechicleType;VechicleNumber;VechicleLongitude;VechicleLatitude;VechicleMFromStop;VechicleId;VechicleFirstStopId;VechicleFirstStopLongitude;VechicleFirstStopLatitude;VechicleLastStopId;VechicleLastStopLongitude;VechicleLastStopLatitude
2;9;24757650;59435280;251;1468;03505-1;2466864;5943315;12220-1;2477774;5943315
2;21;24590280;59448760;354;1471;21105-6;2471748;5942747;00109-1;2465513;5942747
2;9;24710190;59428170;289;1472;03505-1;2466864;5943315;12220-1;2477774;5943315
2;3;24748250;59425750;196;1473;11308-1;2475396;5946356;09501-1;2470183;5946356
2;24A;24686920;59403250;119;1474;01802-1;2466863;5943366;21205-1;2475188;5943366
2;21;24691120;59429890;276;1475;21105-6;2471748;5942747;00109-1;2465513;5942747
2;8;24757300;59437500;213;1476;21216-1;2474168;5944050;18623-1;2473695;5944050
2;8;24797410;59444730;218;1477;21216-1;2474168;5944050;18623-1;2473695;5944050
2;3;24715610;59453510;305;1478;11308-1;2475396;5946356;09501-1;2470183;5946356
2;21A;24634120;59432210;307;1479;01606-1;2463655;5944205;00101-1;2459492;5944205
2;23;24754830;59433740;229;1480;03505-1;2466864;5942793;11601-1;2476540;5942793
2;18;24685180;59377440;250;1481;21211-1;2475644;5928550;20819-1;2453546;5928550
2;60;24757420;59435940;284;1482;16502-1;2480795;5943325;12218-1;2474402;5943325
2;35;24836430;59434610;75;1483;21212-1;2475672;5944354;16602-1;2489003;5944354
2;15;24751630;59434000;316;1484;21212-1;2475672;5941905;13805-1;2483112;5941905
2;28;24698870;59403120;43;1486;11308-1;2475396;5941922;00901-1;2464261;5941922
2;40;24705270;59442340;333;1490;21213-1;2475669;5946356;09501-1;2470183;5946356
2;18;24700540;59380930;55;1491;21211-1;2475644;5928550;20819-1;2453546;5928550
2;17;24684510;59395080;130;1492;02907-1;2469906;5942793;11601-1;2476540;5942793
2;17;24731030;59428760;79;1493;02907-1;2469906;5942793;11601-1;2476540;5942793
2;23;24711050;59399880;7;1495;03505-1;2466864;5942793;11601-1;2476540;5942793
2;11;24750540;59433960;233;1496;03505-1;2466864;5943315;12220-1;2477774;5943315
2;8;24759510;59439040;45;1497;21216-1;2474168;5944050;18623-1;2473695;5944050
2;9;24687310;59410840;205;1498;03505-1;2466864;5943315;12220-1;2477774;5943315
2;9;24733650;59429300;71;1499;03505-1;2466864;5943315;12220-1;2477774;5943315
2;36;24732660;59405790;204;1888;01610-1;2475064;5943576;21207-1;2475041;5943576
2;27;24583110;59414740;13;2200;47007-1;2446973;5935620;04501-1;2461096;5935620
2;5;24742370;59422900;182;2208;06101-1;2471786;5948104;18303-1;2489062;5948104
2;29;24757730;59437340;270;2209;21216-1;2474168;5944635;16501-1;2488588;5944635
2;0;24635900;59412160;52;2212;Depoo;2474168;;Depoo;;
2;5;24821840;59458380;102;2213;06101-1;2471786;5948104;18303-1;2489062;5948104
2;5;24742340;59420660;12;2214;06101-1;2471786;5948104;18303-1;2489062;5948104
2;33;24714030;59433870;150;2216;06101-1;2471786;5944410;09502-1;2468813;5944410
2;32;24732670;59405860;27;2217;06101-1;2471786;5946116;09004-1;2466765;5946116
2;47;24635610;59411680;94;2218;01610-1;2475064;5942793;11601-1;2476540;5942793
2;46;24745480;59433080;81;2220;01610-1;2475064;5943315;12220-1;2477774;5943315
2;5;24739470;59414830;188;2221;06101-1;2471786;5948104;18303-1;2489062;5948104
2;34A;24832760;59466710;212;2224;21215-1;2472978;5905611;20002-1;2416971;5905611
2;61;24674910;59409590;104;2228;01901-1;2463762;5940496;06705-1;2471646;5940496
2;14;24736220;59409290;29;2229;21211-1;2475644;5938608;04402-1;2467751;5938608
2;5;24717610;59385040;359;2230;06101-1;2471786;5948104;18303-1;2489062;5948104
2;26A;24636730;59412970;285;2231;01606-1;2463655;5945615;09305-1;2469941;5945615
2;61;24633780;59404650;291;2234;01901-1;2463762;5940496;06705-1;2471646;5940496
2;34A;24948460;59477700;320;2235;21215-1;2472978;5905611;20002-1;2416971;5905611
2;0;24661200;59411910;339;2236;Depoo;2472978;;Depoo;;
2;33;24683030;59387740;214;2237;06101-1;2471786;5944410;09502-1;2468813;5944410
2;22;24637700;59412890;290;2245;01610-1;2475064;5943500;12003-3;2475569;5943500
2;34A;24896220;59473940;104;2246;21215-1;2472978;5905611;20002-1;2416971;5905611
2;1A;24795510;59443520;218;2247;21215-1;2472978;5953875;20803-1;2479468;5953875
2;22;24635130;59412100;186;2250;01610-1;2475064;5943500;12003-3;2475569;5943500
2;1A;24838140;59474710;22;2252;21215-1;2472978;5953875;20803-1;2479468;5953875
2;5;24757960;59437230;264;2255;06101-1;2471786;5948104;18303-1;2489062;5948104
2;48;24712890;59434990;327;2258;21213-1;2475669;5946356;09501-1;2470183;5946356
2;26;24664250;59410960;136;2261;01606-1;2463655;5945467;09304-1;2468977;5945467
2;5;24763620;59437490;85;2262;06101-1;2471786;5948104;18303-1;2489062;5948104
2;4;24635150;59412140;183;2264;01606-1;2463655;5939580;00115-1;2459505;5939580
2;5;24874780;59461920;53;2265;06101-1;2471786;5948104;18303-1;2489062;5948104
2;16;24661120;59412700;138;2268;01610-1;2475064;5943111;07501-1;2476120;5943111
2;14;24650130;59367410;249;2269;21211-1;2475644;5938608;04402-1;2467751;5938608
2;0;24759740;59438970;39;2275;Depoo;2475644;;Depoo;;
2;10;24681470;59398840;256;2276;01610-1;2475064;5938608;04402-1;2467751;5938608
2;5;24835180;59458920;255;2277;06101-1;2471786;5948104;18303-1;2489062;5948104
2;33;24668450;59379940;169;2278;06101-1;2471786;5944410;09502-1;2468813;5944410
2;24;24661450;59402050;46;2283;03405-1;2468757;5943366;21205-1;2475188;5943366
2;1A;24840440;59487200;133;2284;21215-1;2472978;5953875;20803-1;2479468;5953875
2;5;24717350;59372020;192;2286;06101-1;2471786;5948104;18303-1;2489062;5948104
2;1A;24757990;59438250;209;2287;21215-1;2472978;5953875;20803-1;2479468;5953875
2;24;24666450;59403610;257;2289;03405-1;2468757;5943366;21205-1;2475188;5943366
2;5;24795380;59443510;219;2290;06101-1;2471786;5948104;18303-1;2489062;5948104
2;0;24717910;59366530;13;2291;Depoo;2471786;;Depoo;;
2;24;24704720;59409150;20;2292;03405-1;2468757;5943366;21205-1;2475188;5943366
2;27;24637840;59412820;291;2294;47007-1;2446973;5935620;04501-1;2461096;5935620
2;0;24660400;59410250;131;2300;Depoo;2446973;;Depoo;;
2;1A;24836290;59499060;286;2301;21215-1;2472978;5953875;20803-1;2479468;5953875
2;34A;24768160;59438090;73;2303;21215-1;2472978;5905611;20002-1;2416971;5905611
2;10;24668240;59409950;15;2307;01610-1;2475064;5938608;04402-1;2467751;5938608
2;9;24656150;59404930;320;2309;03505-1;2466864;5943315;12220-1;2477774;5943315
2;10;24654170;59414140;27;2311;01610-1;2475064;5938608;04402-1;2467751;5938608
2;14;24742660;59424720;180;2313;21211-1;2475644;5938608;04402-1;2467751;5938608
2;16;24688500;59414690;291;2315;01610-1;2475064;5943111;07501-1;2476120;5943111
2;27;24611910;59358280;11;2318;47007-1;2446973;5935620;04501-1;2461096;5935620
2;24;24709580;59415830;201;2319;03405-1;2468757;5943366;21205-1;2475188;5943366
2;26;24701050;59450750;207;2320;01606-1;2463655;5945467;09304-1;2468977;5945467
2;16;24694320;59418350;206;2324;01610-1;2475064;5943111;07501-1;2476120;5943111
2;46;24721520;59427720;253;2325;01610-1;2475064;5943315;12220-1;2477774;5943315
2;0;24656590;59409710;218;2329;Depoo;2475064;;Depoo;;
2;10;24681920;59387330;64;2330;01610-1;2475064;5938608;04402-1;2467751;5938608
2;16;24724990;59428300;233;2331;01610-1;2475064;5943111;07501-1;2476120;5943111
2;24;24658870;59400790;120;2333;03405-1;2468757;5943366;21205-1;2475188;5943366
2;38;24768490;59438050;74;2334;21216-1;2474168;5949070;20812-1;2491596;5949070
2;33;24669400;59402980;167;2338;06101-1;2471786;5944410;09502-1;2468813;5944410
2;34A;24759700;59439070;70;2347;21215-1;2472978;5905611;20002-1;2416971;5905611
2;5;24727520;59400310;201;2350;06101-1;2471786;5948104;18303-1;2489062;5948104
2;14;24735730;59409220;212;2351;21211-1;2475644;5938608;04402-1;2467751;5938608
2;5;24718150;59366150;3;2353;06101-1;2471786;5948104;18303-1;2489062;5948104
2;1A;24760170;59439010;69;2354;21215-1;2472978;5953875;20803-1;2479468;5953875
2;16;24704930;59428980;30;2355;01610-1;2475064;5943111;07501-1;2476120;5943111
2;48;24713090;59434820;143;2356;21213-1;2475669;5946356;09501-1;2470183;5946356
2;22;24721310;59433850;249;2357;01610-1;2475064;5943500;12003-3;2475569;5943500
2;32;24742610;59422780;-2147483648;2360;06101-1;2471786;5946116;09004-1;2466765;5946116
2;19;24759490;59439090;50;2361;21212-1;2475672;5943199;14404-1;2481361;5943199
